"","jvm","gcc","gc","benchmark","category","rtINT","rtHS","ratio"
"1","j09","GCC5","CGC","akka-uct","concurrency",1167.5002118264,94.751742075,12.3216754252632
"2","j09","GCC5","CGC","chi-square","apache",1055.0367213575,60.205436507,17.5239443905507
"3","j09","GCC5","CGC","db-shootout","database",2367.0450984162,218.018464281,10.8570854593552
"4","j09","GCC5","CGC","dec-tree","apache",474.124466796,73.429930661,6.45682846937259
"5","j09","GCC5","CGC","dotty","scala",387.8265166633,70.310986461,5.51587363773397
"6","j09","GCC5","CGC","finagle-chirper","web",290.8390986022,51.970933298,5.59618771774861
"7","j09","GCC5","CGC","finagle-http","web",181.07256828025,45.460139459,3.98310630884794
"8","j09","GCC5","CGC","fj-kmeans","concurrency",467.1832220191,35.967945457,12.988877070491
"9","j09","GCC5","CGC","future-genetic","functional",140.94041551465,13.035887814,10.8117235684773
"10","j09","GCC5","CGC","gauss-mix","apache",903.132040521,72.038515017,12.5367942455209
"11","j09","GCC5","CGC","log-regression","apache",468.34102370335,72.273193387,6.48014847213866
"12","j09","GCC5","CGC","mnemonics","functional",968.90318890925,26.162418924,37.0341592543047
"13","j09","GCC5","CGC","movie-lens","apache",951.540820774,126.490785429,7.5226097896918
"14","j09","GCC5","CGC","naive-bayes","apache",2729.3767719876,215.866474244,12.6438196646623
"15","j09","GCC5","CGC","neo4j-analytics","database",3731.64487570435,185.395702271,20.1280009730197
"16","j09","GCC5","CGC","page-rank","apache",1556.0275596448,142.663049007,10.907011804917
"17","j09","GCC5","CGC","par-mnemonics","functional",799.8461719619,23.253191488,34.397264236811
"18","j09","GCC5","CGC","philosophers","scala",505.0008809176,14.20493486,35.5510874139693
"19","j09","GCC5","CGC","reactors","concurrency",1764.0099207748,88.703118534,19.8866730947983
"20","j09","GCC5","CGC","rx-scrabble","functional",92.24191281845,10.47951711,8.80211481599938
"21","j09","GCC5","CGC","scala-doku","scala",615.8190097651,41.586092193,14.8082923229983
"22","j09","GCC5","CGC","scala-kmeans","scala",167.1909989002,7.607236545,21.9778888051127
"23","j09","GCC5","CGC","scala-stm-bench7","scala",189.55458697245,15.674332324,12.0933117311932
"24","j09","GCC5","CGC","scrabble","functional",121.34153559195,11.667160954,10.4002624177692
"25","j09","GCC5","CPGC","akka-uct","concurrency",1163.8253501182,85.059932148,13.6824156888957
"26","j09","GCC5","CPGC","chi-square","apache",1057.3966978557,70.829865748,14.9286842024765
"27","j09","GCC5","CPGC","db-shootout","database",2374.3716005791,235.602414309,10.0778746582157
"28","j09","GCC5","CPGC","dec-tree","apache",474.39513313965,80.576362948,5.88752229293101
"29","j09","GCC5","CPGC","dotty","scala",388.7499753866,70.345751049,5.52627514227281
"30","j09","GCC5","CPGC","finagle-chirper","web",290.91554459755,48.635264145,5.98157632556948
"31","j09","GCC5","CPGC","finagle-http","web",182.0140802163,45.646917513,3.98743420438989
